state,total_gov_hospitals,total_gov_beds,phc_beds,chc_beds,sub_divisional_hospital_beds,district_hospital_beds,medical_college_beds,total_beds_all_levels,total_doctors,doses_male,doses_female,total_vaccination_doses,total_sub_centres,total_phcs,total_chcs,total_sub_divisional_hospitals,total_district_hospitals,nabh_accredited_hospitals,beds_per_gov_hospital,doctors_per_gov_hospital,vaccination_per_bed,phc_chc_ratio,medical_college_bed_ratio,district_hospital_bed_ratio,infrastructure_score,healthcare_readiness_score,hospital_adequacy_score,budget_need_score
Andaman and Nicobar Islands,30.0,1202.0,230,210.0,0.0,220,700.0,1360,0.0,155381,135329,290710,114.0,19.0,4.0,0.0,3.0,0.0,40.06666666666667,0.0,213.75735294117646,1.0952380952380953,0.5147058823529411,0.16176470588235295,1497.0,343.45000000000005,20.033333333333335,64.13594132328473
Andhra Pradesh,6234.0,86721.0,8712,6400.0,5400.0,2600,12583.0,35695,105799.0,9546052,11464881,21010933,12522.0,1624.0,281.0,58.0,17.0,235.0,13.91097208854668,16.971286493423165,588.6239809497129,1.36125,0.35251435775318674,0.07283933323994957,50357.0,40984.45,15.441129290984922,176.63297734903358
Arunachal Pradesh,218.0,2404.0,397,594.0,0.0,1151,350.0,2492,1461.0,459689,372145,831834,0.0,0.0,0.0,0.0,14.0,0.0,11.027522935779816,6.701834862385321,333.80176565008026,0.6683501683501684,0.1404494382022472,0.4618780096308186,2492.0,1061.3,8.864678899082568,100.22449296750742
Assam,1239.0,28039.0,3166,6218.0,844.0,3677,9343.0,23248,25561.0,5537684,4792464,10330148,4604.0,938.0,108.0,13.0,24.0,25.0,22.630347054075866,20.630347054075866,444.3456641431521,0.5091669347056932,0.4018840330350998,0.15816414315209912,28923.0,13640.95,21.630347054075866,133.3361304997726
Bihar,2132.0,29339.0,5596,8039.0,2459.0,4575,7251.0,27920,48192.0,12615368,10630449,23245817,9696.0,1863.0,70.0,40.0,36.0,20.0,13.76125703564728,22.604127579737337,832.5865687679083,0.6961064809055852,0.25970630372492837,0.16386103151862463,39569.0,21730.55,18.182692307692307,249.8168882511456
Chandigarh,49.0,3758.0,23,120.0,100.0,527,3096.0,3866,0.0,439141,341179,780320,17.0,0.0,2.0,0.0,1.0,29.0,76.6938775510204,0.0,201.8416968442835,0.19166666666666668,0.8008277289187791,0.136316606311433,3914.0,971.15,38.3469387755102,60.55707265094337
Chhattisgarh,247.0,9610.0,5015,6726.0,629.0,3542,4458.0,20370,10020.0,5317102,5324096,10641198,5076.0,741.0,148.0,0.0,17.0,31.0,38.906882591093115,40.5668016194332,522.3955817378497,0.7456140350877193,0.21885125184094256,0.17388316151202748,26366.0,8236.5,39.73684210526316,156.736298103535
Dadra and Nagar Haveli and Daman and Diu,11.0,589.0,177,132.0,100.0,240,589.0,1238,0.0,241951,103242,345193,76.0,9.0,3.0,0.0,3.0,0.0,53.54545454545455,0.0,278.8311793214863,1.3409090909090908,0.47576736672051695,0.1938610662358643,1326.0,311.3,26.772727272727273,83.65589029899257
Delhi,107.0,27154.0,12,0.0,431.0,9789,12060.0,22292,30817.0,5651974,4182789,9834763,41.0,8.0,0.0,49.0,0.0,484.0,253.77570093457945,288.0093457943925,441.17903283689213,0.0,0.5410012560559843,0.4391261439081285,22825.0,14891.900000000001,270.892523364486,132.35630426006637
Goa,43.0,3086.0,183,210.0,253.0,600,1342.0,2588,4035.0,691986,603414,1295400,175.0,19.0,5.0,0.0,2.0,7.0,71.76744186046511,93.83720930232558,500.54095826893354,0.8714285714285714,0.51854714064915,0.23183925811437403,2794.0,1862.1499999999999,82.80232558139534,150.17089420762613
Gujarat,2245.0,29402.0,9422,11167.0,4492.0,3257,17899.0,46237,72406.0,17552885,14644647,32197532,7274.0,1123.0,305.0,26.0,24.0,313.0,13.096659242761692,32.252115812917594,696.3585872785865,0.8437360078803617,0.387114215887709,0.07044142137249389,55252.0,33542.2,22.67438752783964,208.94515255728297
Haryana,678.0,12590.0,2183,3079.0,1581.0,3647,3660.0,14150,15687.0,6277681,5063362,11341043,2508.0,444.0,107.0,25.0,21.0,615.0,18.569321533923304,23.13716814159292,801.4871378091873,0.7089964274114973,0.25865724381625443,0.25773851590106006,17824.0,8418.499999999998,20.853244837758112,240.4801168104198
Himachal Pradesh,822.0,14782.0,1005,969.0,3665.0,1924,2632.0,10195,5038.0,2491862,2573996,5065858,2067.0,453.0,76.0,0.0,0.0,17.0,17.982968369829685,6.128953771289538,496.89632172633645,1.0371517027863777,0.25816576753310444,0.18871996076508094,12808.0,4142.049999999999,12.055961070559611,149.1454653725786
Jammu and Kashmir,1275.0,4418.0,3955,2769.0,0.0,1862,5420.0,14006,17574.0,3511993,2507193,6019186,1907.0,397.0,83.0,0.0,22.0,19.0,3.4650980392156865,13.783529411764706,429.757675282022,1.4283134705669918,0.38697700985292016,0.13294302441810651,16412.0,8848.550000000001,8.624313725490197,129.05370245317246
Jharkhand,4463.0,14891.0,1229,3647.0,534.0,3215,2900.0,11525,7374.0,5053101,4145005,9198106,3958.0,330.0,188.0,10.0,21.0,26.0,3.3365449249383823,1.6522518485323774,798.1003036876356,0.33698930627913354,0.25162689804772237,0.2789587852494577,16027.0,5175.049999999999,2.49439838673538,239.74682215136048
Karnataka,2842.0,70474.0,15112,6500.0,14530.0,6174,13712.0,56028,134426.0,14942147,14636527,29578674,8870.0,2310.0,180.0,146.0,31.0,271.0,24.797325826882478,47.29978888106967,527.9266438209467,2.324923076923077,0.24473477546940817,0.11019490254872563,67659.0,54748.95,36.04855735397607,158.39950718165653
Kerala,1284.0,38097.0,5727,6371.0,8347.0,15113,7175.0,42733,72999.0,9121745,9877701,18999446,4575.0,809.0,224.0,43.0,0.0,219.0,29.67056074766355,56.85280373831776,444.6082886761987,0.8989169675090253,0.16790302576463154,0.35366110500081904,48560.0,32770.75,43.26168224299066,133.4004390560009
Ladakh,0.0,0.0,320,190.0,0.0,370,0.0,880,0.0,141962,110038,252000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.3636363636364,1.6842105263157894,0.0,0.42045454545454547,880.0,220.0,0.0,85.9090909090909
Lakshadweep,12.0,250.0,40,90.0,70.0,50,0.0,250,0.0,35834,29494,65328,14.0,4.0,3.0,1.0,1.0,0.0,20.833333333333332,0.0,261.312,0.4444444444444444,0.0,0.2,271.0,63.550000000000004,10.416666666666666,78.41040000000001
Madhya Pradesh,465.0,31106.0,8640,10590.0,9721.0,16650,5850.0,51451,42596.0,16454296,13558645,30012941,8869.0,1156.0,333.0,56.0,50.0,178.0,66.89462365591397,91.60430107526882,583.3305669471924,0.8158640226628895,0.11370041398612273,0.3236088705758877,61987.0,25891.600000000002,79.2494623655914,175.0082229750126
Maharashtra,514.0,33028.0,18276,15004.0,7903.0,4108,16998.0,45291,188545.0,23154721,19529229,42683950,10580.0,1809.0,365.0,81.0,23.0,507.0,64.2568093385214,366.8190661478599,942.4377911726392,1.2180751799520129,0.375306352255415,0.09070234704466672,58552.0,68288.40000000001,215.53793774319067,282.7377383942135
Manipur,119.0,1768.0,420,365.0,10.0,551,1449.0,2795,0.0,689668,576963,1266631,420.0,80.0,16.0,1.0,7.0,2.0,14.857142857142858,0.0,453.1774597495528,1.1506849315068493,0.5184257602862254,0.1971377459749553,3313.0,713.4499999999999,7.428571428571429,135.9767956171735
Meghalaya,154.0,4467.0,1127,867.0,40.0,1960,594.0,4588,0.0,552726,492970,1045696,405.0,109.0,29.0,0.0,10.0,2.0,29.006493506493506,0.0,227.91979075850043,1.2998846597462514,0.12946817785527462,0.4272013949433304,5133.0,1167.9999999999998,14.503246753246753,68.38800349126178
Mizoram,99.0,2022.0,655,240.0,70.0,903,500.0,2368,156.0,412585,408489,821074,370.0,57.0,9.0,2.0,8.0,0.0,20.424242424242426,1.5757575757575757,346.7373310810811,2.7291666666666665,0.21114864864864866,0.3813344594594595,2804.0,648.6999999999999,11.0,104.26045120745603
Nagaland,177.0,2461.0,706,325.0,0.0,1017,0.0,2048,141.0,430338,323061,753399,396.0,126.0,21.0,0.0,11.0,1.0,13.903954802259888,0.7966101694915254,367.87060546875,2.1723076923076925,0.0,0.49658203125,2592.0,576.4999999999999,7.350282485875707,110.82571603677947
Odisha,1806.0,18519.0,1501,6290.0,1946.0,7288,9291.0,26316,26924.0,8535458,7443423,15978881,6688.0,1228.0,377.0,26.0,32.0,40.0,10.254152823920267,14.908084163898117,607.1926204590363,0.23863275039745627,0.35305517555859556,0.27694178446572426,34649.0,14902.95,12.581118493909191,182.21539584533318
Puducherry,44.0,4768.0,185,120.0,0.0,1853,2794.0,4952,0.0,342956,355711,698667,53.0,24.0,3.0,0.0,0.0,6.0,108.36363636363636,0.0,141.08784329563812,1.5416666666666667,0.56421647819063,0.3741922455573506,5038.0,1242.95,54.18181818181818,42.32958285446325
Punjab,816.0,21241.0,1688,3711.0,2509.0,3931,3160.0,14999,51689.0,4801748,3826003,8627751,2950.0,446.0,129.0,35.0,20.0,364.0,26.03063725490196,63.34436274509804,575.2217481165411,0.45486391808137966,0.21068071204746983,0.2620841389425962,18888.0,19397.299999999996,44.6875,172.58549548316634
Rajasthan,2849.0,46778.0,13866,23820.0,2500.0,9474,17131.0,66791,48232.0,16527432,14744684,31272116,11487.0,1517.0,376.0,12.0,34.0,340.0,16.41909441909442,16.92944892944893,468.20853108951803,0.5821158690176322,0.2564866523932865,0.1418454582204189,80511.0,31502.3,16.674271674271676,140.50455000526836
Sikkim,33.0,2260.0,257,28.0,0.0,400,0.0,685,1501.0,345254,288456,633710,146.0,24.0,2.0,0.0,4.0,0.0,68.48484848484848,45.484848484848484,925.1240875912408,9.178571428571429,0.0,0.583941605839416,857.0,625.4499999999999,56.984848484848484,277.5500317669279
Tamil Nadu,2507.0,99435.0,10025,12582.0,21978.0,7695,29888.0,82168,148217.0,11318151,10625380,21943531,8706.0,1204.0,385.0,231.0,30.0,263.0,39.662943757479056,59.12126047068209,267.0568956284685,0.7967731680178032,0.3637425761853763,0.09364959594976147,92726.0,65284.899999999994,49.39210211408057,80.1318130823243
Telangana,677.0,5094.0,4662,3320.0,5400.0,2270,5960.0,21612,14999.0,7422127,6865658,14287785,0.0,0.0,0.0,0.0,0.0,177.0,7.5243722304283605,22.155096011816838,661.1042476401999,1.4042168674698796,0.27577271885989263,0.10503424023690543,21789.0,9929.25,14.8397341211226,198.39358752034926
Tripura,155.0,4343.0,918,630.0,900.0,1260,727.0,4435,2681.0,1571124,1498937,3070061,632.0,79.0,11.0,11.0,2.0,1.0,28.019354838709678,17.296774193548387,692.2347237880496,1.457142857142857,0.16392333709131907,0.28410372040586246,5158.0,1926.7,22.65806451612903,207.70314348877565
Uttar Pradesh,4683.0,66700.0,13548,26157.0,0.0,22812,14726.0,77243,89287.0,26322385,19933956,46256341,20521.0,3692.0,515.0,0.0,0.0,328.0,14.243006619688234,19.066196882340382,598.8418497469027,0.5179493061130863,0.19064510699998705,0.29532773196276685,102299.0,46777.1,16.654601751014308,179.695485482997
Uttarakhand,618.0,8106.0,2111,1699.0,2035.0,1511,1850.0,9206,10243.0,2905983,2739241,5645224,1765.0,239.0,55.0,20.0,18.0,40.0,13.116504854368932,16.57443365695793,613.2113838800782,1.2424955856386108,0.20095589832717792,0.1641320877688464,11305.0,5424.5,14.845469255663431,184.0112159621421
West Bengal,1594.0,96012.0,7640,11205.0,13110.0,7599,25086.0,64640,78740.0,15507060,13064202,28571262,10356.0,909.0,348.0,0.0,0.0,90.0,60.23337515683814,49.39774153074028,442.0059096534653,0.6818384649709951,0.38808787128712874,0.11755878712871287,76343.0,39984.049999999996,54.815558343789206,132.6146689722021
